Time,Range,Angle,X,Y,Velocity
0,,,,,
1,293.74414515985,2.96,-37.761379144146076,14.8330852761366,0.0
2,293.36265925704504,3.02,-37.342464809022374,15.090146023262406,0.0
3,292.98117335424,3.02,-36.95807663170939,15.045880164662783,0.0
4,292.59968745143505,3.03,-36.567909818720466,15.05162868615055,0.0
5,,,,,
6,292.21820154863,3.02,-36.18925701020572,14.957343464881866,0.0
7,291.836715645825,3.06,-35.781778143233055,15.112593982260776,0.0
8,,,,,
9,,,,,
10,291.073743840215,3.09,-34.99560309593949,15.172738342513362,0.0
11,290.69225793741003,3.07,-34.622728515441736,15.028642678361471,0.0
12,290.310772034605,3.07,-34.23827707354383,14.984029553584485,0.0
13,289.9292861318,3.09,-33.84229549931837,15.038496372758253,0.0
14,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,0.0
15,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,0.0
16,288.784828423385,3.11,-32.67735106587003,15.002913839641344,0.0
17,288.40334252058005,3.11,-32.29285619152165,14.958023609978241,0.0
18,288.02185661777503,3.12,-31.902597480482427,14.9623334020406,0.0
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,0.0
20,287.64037071497006,3.13,-31.51233069668939,14.966506195883,0.0
