time,range,angle,x,y,velocity
2,293.36265925704504,3.01,-37.34823575249777,15.039994798608149,0.0
3,292.98117335424,3.03,-36.952304666986265,15.095963293615108,0.0
6,292.21820154863,3.03,-36.18350050976153,15.00729241084587,0.0
7,291.836715645825,3.07,-35.77599455266835,15.162471807381928,0.0
10,291.073743840215,3.06,-35.01293323374472,15.023510453252657,0.0
12,290.310772034605,3.08,-34.23251594521372,15.033637988908415,0.0
13,289.9292861318,3.1,-33.83652487076614,15.088035695430476,0.0
14,289.5478002289951,3.08,-33.46358414349913,14.944272369737334,0.0
15,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,0.0
16,288.784828423385,3.12,-32.671586665384496,15.052249841696892,0.0
17,288.40334252058005,3.11,-32.29285619152165,14.95802360997824,0.0
18,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,0.0
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,0.0
20,287.64037071497006,3.14,-31.506572668280683,15.015638864081154,0.0
